,product,class,code,name,image,price
227,FR02,날치알,FR,아라찬날치알(골드) 500G/(주)영피쉬,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/05/13/022//202405131558000183f3c8fe014b4d84303f663f2a7dbe_3n38.jpg,"8,700원"
228,FR03,날치알,FR,아라찬날치알(골드) 500G/(주)영피쉬  BOX (20),http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/05/13/810//2024051315575438a4d30e25ad48ae9ad74fa6b2619b4e_vcsi.jpg,"162,500원"
229,FR04,날치알,FR,아라찬날치알(레드) 500G/(주)영피쉬,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/05/13/101//20240513155740956c4e814514470e9d4d1b45e7cc7db7_cr3i.jpg,"8,700원"
230,SS00,간장,SS,국간장 0.9L/몽고,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/02/01/270//20240201092750cc73c36ed47c4702af7744b5a9dd1649_zlwa.jpg,"4,500원"
231,SS01,간장,SS,국간장 1.8L/몽고,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/02/01/090//202402010927409fd8c1baea604c4882b39e3b8e861285_tomb.jpg,"8,800원"
232,SS02,간장,SS,국간장 13L/몽고,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/21/240//20240821090715ee2af99c3a6e4e9ca8f6517c449c6747_xbqw.jpg,"28,000원"
233,SS03,간장,SS,국간장 14L/샘표,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub01/01//201904301030577fb908684b8d4c5499dd7d6c51fde2e3_rozq.jpg,"22,400원"
234,SS04,간장,SS,기꼬만간장 1.8L/메트로통상,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub01/01//20190430103135c55cd9614c9345d6adb93be577a51324_n1kw.jpg,"8,700원"
235,DP00,된장,DP,구수한집된장 500G/해찬들,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/12/09/651//2024120912541531dc91dd632245c19c37682b860d4263_tn8r.jpg,"6,100원"
236,DP01,된장,DP,순창궁콩재래된장 14kg/해표,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub01/01//20190430105543e7ef9f51d6b34b8d8ba2d5eee9440cc3_j4lh.jpg,"28,700원"
237,DP02,된장,DP,재래된장 2.7KG/옛맛뚝배기,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2022/04/13/896//202204131608558e4314d1788342bf9c3c295afede2bda_b5an.jpg,"50,200원"
238,DP03,된장,DP,재래된장 450G/옛맛뚝배기,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub01/01//20190430110804931d7e33c11845dd96d75860150eaeae_8w7i.jpg,"10,700원"
239,DP04,된장,DP,재래된장 900G/옛맛뚝배기,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub01/01//20190430110805198edbeaa2b946b3a1281be01adc4b99_lbgd.jpg,"19,200원"
240,GP00,고추장,GP,명품고추장 3KG/청정원,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub01/02//20190430104538ee8e259efd1d4181821fb041c0f4f6a0_2fap.jpg,"21,400원"
241,GP01,고추장,GP,쇠고기볶음고추장 120g/움트리,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2020/05/22/600//202005221403554c3b886f436847728327cc78accb6b4d_qvzc.jpg,"2,750원"
242,GP02,고추장,GP,순창궁우리햅쌀고추장 3kg/해표,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2021/02/08/302//202102081504205e3384489b4e4ee29e8d552eb9995cc3_uptd.jpg,"24,200원"
243,GP03,고추장,GP,순창궁태양초고추장 6.5kg/해표,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub01/01//201904301055437bda2b0b1ce341ba82a6160e4e416b61_cmg1.jpg,"17,600원"
244,GP04,고추장,GP,순창궁태양초고추장 6.5kg/해표  BOX (2),http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/14/581//202408141528205ad39b312a05453786cad723b10a0a79_w4dd.jpg,"33,000원"
245,SA00,소금,SA,구운소금 1KG/백설,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub03/01//20190430103021d0299cad40be49099cf6ed82c2bc568e_abif.jpg,"4,600원"
246,SA01,소금,SA,구운소금 1KG/청정원,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2021/02/11/598//20210211081025b785bc785a794b5484cc2cf2998aba8e_wcte.jpg,"7,350원"
247,SA02,소금,SA,구운소금 1KG/동광,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/13/132//20240813094330a895b8579b964cd1a7dfde11d18d615e_u1ut.jpg,"4,850원"
248,SA03,소금,SA,구운소금 500G/동광,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub03/03//20190430103022782a60baa3634c60929c4ab689fe9493_v1m7.jpg,"2,500원"
249,SA04,소금,SA,구운소금 500G/청정원,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2021/11/24/857//2021112412241061e305482a044f39a2ff63a45ba87f40_gnv4.jpg,"5,350원"
250,SU00,설탕,SU,레인보우 270G/이슬나라,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub03/03//20190430103902e93b5ba0e98e449596c43083840050d4_snxp.jpg,"5,100원"
251,SU01,설탕,SU,백설롱슈가설탕 5Gx100입/씨제이제일제당(주),http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/13/502//20240813113410fd00eb9e7e6847f8ad5a78f4a18a0783_uid4.jpg,"2,550원"
252,SU02,설탕,SU,하얀설탕 15KG/백설,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/12/10/646//20241210152640b876775548af40439376c28e2217ec3e_vwfx.jpg,"21,800원"
253,SU03,설탕,SU,하얀설탕 1KG/백설,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/09/19/057//20240919101155c8afbc343a4147a88b9d232e5fd6a070_bx6g.jpg,"2,800원"
254,SU04,설탕,SU,하얀설탕 1KG/백설  BOX (16),http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/23/413//20240823114925b211dae26d4d4028b87735146827e4d2_48w4.jpg,"42,400원"
255,CP00,고춧가루,CP,참맛청결고춧가루(청양한식) 600G/고추나라/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2020/03/16/835//20200316131215e4ad71b8be4840218952625357723e6f_f52u.jpg,"17,500원"
256,CP01,고춧가루,CP,참맛청결고춧가루(청양한식) 600G/고추나라/국산  BOX (10),http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/20/468//20240820152930946a1ff28bbb4c75b96b02cf4b6c6042_i31d.jpg,"165,200원"
257,CP02,고춧가루,CP,참맛청결고춧가루(한식) 250G/고추나라/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2021/03/12/062//2021031213171557f88282405348289bc919ce3a8d48b9_uork.jpg,"7,500원"
